path,label,source,speaker_id,sarcasm_label,audio_emotion_label,visual_emotion_label
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1041_IOM_NEU_XX__AUDIO_1041_IOM_SAD_XX_styletts.mp4,1,track1,crema_1041,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1030_IWW_HAP_XX__AUDIO_1030_IWW_NEU_XX_styletts.mp4,1,track1,crema_1030,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1047_ITS_NEU_XX__AUDIO_1047_ITS_SAD_XX_styletts.mp4,1,track1,crema_1047,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1056_TSI_FEA_XX__AUDIO_1056_TSI_HAP_XX_styletts.mp4,1,track1,crema_1056,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia141_utt0.mp4,0,meld_real,meld_chandler,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1089_DFA_HAP_XX__AUDIO_1089_DFA_NEU_XX_sadtalker.mp4,1,track3,crema_1089,-1,neutral,happy
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\4HAC00EAdno_002.mp4,0,cmumosei_real,mosei_4HAC00EAdno,-1,happy,happy
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia523_utt16.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1051_IWL_HAP_XX__AUDIO_1051_IWL_NEU_XX_wav2lip.mp4,1,track2,crema_1051,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia99_utt8.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\67uKYi7mslE_013.mp4,0,cmumosei_real,mosei_67uKYi7mslE,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1091_ITS_HAP_XX__AUDIO_1091_ITS_NEU_XX_sadtalker.mp4,1,track3,crema_1091,-1,neutral,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1070_ITS_SAD_XX__AUDIO_1070_ITS_ANG_XX_wav2lip.mp4,1,track2,crema_1070,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia996_utt17.mp4,0,meld_real,meld_emily,-1,anger,anger
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1044_IOM_HAP_XX__AUDIO_1044_IOM_NEU_XX_styletts.mp4,1,track1,crema_1044,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1028_IWL_SAD_XX__AUDIO_1028_IWL_ANG_XX_wav2lip.mp4,1,track2,crema_1028,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\0EphpADwdPg_003.mp4,0,cmumosei_real,mosei_0EphpADwdPg,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1069_TIE_HAP_XX__AUDIO_1069_TIE_NEU_XX_styletts.mp4,1,track1,crema_1069,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\95mDHiLeDCM_002.mp4,0,cmumosei_real,mosei_95mDHiLeDCM,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1036_IEO_SAD_MD__AUDIO_1036_IEO_ANG_MD_wav2lip.mp4,1,track2,crema_1036,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1091_ITS_ANG_XX__AUDIO_1091_ITS_DIS_XX_styletts.mp4,1,track1,crema_1091,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\7ZzbemE4QEE_029.mp4,0,cmumosei_real,mosei_7ZzbemE4QEE,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1002_IEO_SAD_LO__AUDIO_1002_IEO_ANG_LO_wav2lip.mp4,1,track2,crema_1002,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1018_TIE_FEA_XX__AUDIO_1018_TIE_HAP_XX_sadtalker.mp4,1,track3,crema_1018,-1,happy,fear
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia3_utt4.mp4,0,meld_real,meld_phoebe,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1025_IWW_HAP_XX__AUDIO_1025_IWW_NEU_XX_sadtalker.mp4,1,track3,crema_1025,-1,neutral,happy
