split,dialogue_id,utterance_id,speaker,emotion,emotion_raw,sentiment,utterance,duration,video_path,clip_id
train,174,2,2nd Customer,joy,joy,positive,It was. The duck in particular was superb.,2.54,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia174_utt2.mp4,train_dia174_utt2
train,174,4,3rd Customer,neutral,neutral,neutral,Actually I do have one small complaint.,2.5,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia174_utt4.mp4,train_dia174_utt4
train,531,0,A Student,neutral,surprise,negative,Whats happening to your accent?,2.59,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia531_utt0.mp4,train_dia531_utt0
test,16,3,A Waiter,neutral,neutral,neutral,"Hey, dragon! Here’s your tips from Monday and Tuesday.",6.3,data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia16_utt3.mp4,test_dia16_utt3
train,635,8,Airline Employee,neutral,neutral,neutral,"Im sorry, would you move your thumb? I cant see the seat number.",2.5,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia635_utt8.mp4,train_dia635_utt8
test,251,4,Alan,neutral,neutral,neutral,"Yeah, well, I had a great time with you.. I just can't stand your friends.",6.17,data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia251_utt4.mp4,test_dia251_utt4
dev,13,17,Alice,neutral,neutral,neutral,Am I too late?!,3.0,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia13_utt17.mp4,dev_dia13_utt17
train,665,14,Alice,neutral,neutral,neutral,"So, umm, were kinda using all the money we have to do it just this one time.",4.42,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia665_utt14.mp4,train_dia665_utt14
train,950,4,All,sadness,sadness,negative,"No. No, you're not a loser.",2.63,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia950_utt4.mp4,train_dia950_utt4
dev,70,4,All,joy,joy,positive,Shoot! Shoot! Shoot!,3.38,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia70_utt4.mp4,dev_dia70_utt4
train,910,2,All,joy,joy,positive,WE WON!! Thank you! Yes!,2.54,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia910_utt2.mp4,train_dia910_utt2
dev,68,9,All,joy,joy,positive,Of course we’ll help! Yeah! We’ll be here!,3.88,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia68_utt9.mp4,dev_dia68_utt9
train,960,10,Allesandro,neutral,neutral,neutral,How long is this gonna take? Cause I got another critic to go yell at.,3.5,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia960_utt10.mp4,train_dia960_utt10
train,602,5,Angela,neutral,neutral,neutral,Huh. That's nice.,3.0,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia602_utt5.mp4,train_dia602_utt5
train,353,1,Annabelle,neutral,neutral,neutral,"Hey, Joey. So did you hear about the new guy?",4.17,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia353_utt1.mp4,train_dia353_utt1
train,844,20,Another Scientist,fear,fear,negative,And I need to flip the light switch on and off 17 times before I leave a room or my family will die.,6.17,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia844_utt20.mp4,train_dia844_utt20
train,844,11,Another Tour Guide,anger,anger,negative,"Im Ted, and I just moved here a month ago, and New York really scares me.",5.13,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia844_utt11.mp4,train_dia844_utt11
train,301,3,Barry,neutral,neutral,neutral,"I'll be right there, Bernice.",2.88,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia301_utt3.mp4,train_dia301_utt3
train,669,0,Barry,neutral,neutral,neutral,Sorry about that. So. What have you been up to?,8.01,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia669_utt0.mp4,train_dia669_utt0
train,457,11,Barry,neutral,neutral,neutral,"All right Miss Green, everything looks fine... Yep, I think we're starting to see some real progress here.",6.8,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia457_utt11.mp4,train_dia457_utt11
train,669,4,Barry,neutral,neutral,neutral,"Oh, I, uh- I went to Aruba.",3.63,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia669_utt4.mp4,train_dia669_utt4
train,457,4,Barry,neutral,neutral,neutral,"Thanks, Bernice.  Let's go away this weekend.",4.34,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia457_utt4.mp4,train_dia457_utt4
train,1029,0,Ben,neutral,surprise,negative,Really? Like how?,4.05,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia1029_utt0.mp4,train_dia1029_utt0
train,457,3,Bernice,neutral,neutral,neutral,"Dr. Farber, Bobby Rush is here for his adjustment.",3.59,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia457_utt3.mp4,train_dia457_utt3
train,707,15,Bob,neutral,neutral,neutral,"Uh, Phoebe we've been getting complaints and uh, we're gonna move you to a less high-profile spot.",5.21,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia707_utt15.mp4,train_dia707_utt15
dev,14,2,Bob,neutral,neutral,neutral,"It’s Bob actually. Hey, you work up here, can you tell me where this Chandler",7.34,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia14_utt2.mp4,dev_dia14_utt2
dev,14,8,Bob,anger,anger,negative,Toby! I’m not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,8.26,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia14_utt8.mp4,dev_dia14_utt8
test,209,1,Bob,joy,joy,positive,"I just found out this is Chandler’s office! Come on Toby, give me a hand!",6.76,data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia209_utt1.mp4,test_dia209_utt1
