video_stem,video_path,video_emotion,video_emotion_lbl,actor_id,sentence_key,sentence_text,audio_stem,audio_path,audio_emotion,audio_emotion_lbl,output_stem,label,method,status
1001_DFA_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_DFA_NEU_XX.flv,NEU,neutral,1001,DFA,Don't forget a jacket,1001_DFA_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_DFA_SAD_XX.wav,SAD,sad,FAKE_T1_1001_DFA_NEU_XX__AUDIO_1001_DFA_SAD_XX,1,emotion_swap,pending
1001_ITS_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_ITS_ANG_XX.flv,ANG,angry,1001,ITS,I think I've seen this before,1001_ITS_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_ITS_DIS_XX.wav,DIS,disgusted,FAKE_T1_1001_ITS_ANG_XX__AUDIO_1001_ITS_DIS_XX,1,emotion_swap,pending
1001_ITH_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_ITH_HAP_XX.flv,HAP,happy,1001,ITH,I think I have a doctor's appointment,1001_ITH_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_ITH_NEU_XX.wav,NEU,neutral,FAKE_T1_1001_ITH_HAP_XX__AUDIO_1001_ITH_NEU_XX,1,emotion_swap,pending
1001_IEO_DIS_MD,..\..\data\raw\CREMA-D\VideoFlash\1001_IEO_DIS_MD.flv,DIS,disgusted,1001,IEO,It's eleven o'clock,1001_IEO_FEA_MD,..\..\data\raw\CREMA-D\AudioWAV\1001_IEO_FEA_MD.wav,FEA,fearful,FAKE_T1_1001_IEO_DIS_MD__AUDIO_1001_IEO_FEA_MD,1,emotion_swap,pending
1001_ITS_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_ITS_FEA_XX.flv,FEA,fearful,1001,ITS,I think I've seen this before,1001_ITS_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_ITS_HAP_XX.wav,HAP,happy,FAKE_T1_1001_ITS_FEA_XX__AUDIO_1001_ITS_HAP_XX,1,emotion_swap,pending
1001_TSI_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_TSI_NEU_XX.flv,NEU,neutral,1001,TSI,The surface is slippery,1001_TSI_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_TSI_SAD_XX.wav,SAD,sad,FAKE_T1_1001_TSI_NEU_XX__AUDIO_1001_TSI_SAD_XX,1,emotion_swap,pending
1001_WSI_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_WSI_SAD_XX.flv,SAD,sad,1001,WSI,We'll stop in a couple of minutes,1001_WSI_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_WSI_ANG_XX.wav,ANG,angry,FAKE_T1_1001_WSI_SAD_XX__AUDIO_1001_WSI_ANG_XX,1,emotion_swap,pending
1001_TIE_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_TIE_FEA_XX.flv,FEA,fearful,1001,TIE,That is exactly what happened,1001_TIE_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_TIE_HAP_XX.wav,HAP,happy,FAKE_T1_1001_TIE_FEA_XX__AUDIO_1001_TIE_HAP_XX,1,emotion_swap,pending
1001_WSI_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_WSI_HAP_XX.flv,HAP,happy,1001,WSI,We'll stop in a couple of minutes,1001_WSI_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_WSI_NEU_XX.wav,NEU,neutral,FAKE_T1_1001_WSI_HAP_XX__AUDIO_1001_WSI_NEU_XX,1,emotion_swap,pending
1001_DFA_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_DFA_SAD_XX.flv,SAD,sad,1001,DFA,Don't forget a jacket,1001_DFA_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_DFA_ANG_XX.wav,ANG,angry,FAKE_T1_1001_DFA_SAD_XX__AUDIO_1001_DFA_ANG_XX,1,emotion_swap,pending
