clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
bdtwQxwySN0_002,mosei_real,0,mosei_bdtwQxwySN0_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\bdtwQxwySN0_002.mp4,data\preprocessed\features\z_at\bdtwQxwySN0_002.pt,data\preprocessed\features\z_v\bdtwQxwySN0_002.pt
FAKE_T3_1026_ITS_ANG_XX__AUDIO_1026_ITS_DIS_XX_sadtalker,track3,1,crema_1026,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1026_ITS_ANG_XX__AUDIO_1026_ITS_DIS_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1026_ITS_ANG_XX__AUDIO_1026_ITS_DIS_XX_sadtalker.pt
FAKE_T3_1049_ITH_DIS_XX__AUDIO_1049_ITH_FEA_XX_sadtalker,track3,1,crema_1049,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1049_ITH_DIS_XX__AUDIO_1049_ITH_FEA_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1049_ITH_DIS_XX__AUDIO_1049_ITH_FEA_XX_sadtalker.pt
FAKE_T3_1022_TIE_ANG_XX__AUDIO_1022_TIE_DIS_XX_sadtalker,track3,1,crema_1022,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1022_TIE_ANG_XX__AUDIO_1022_TIE_DIS_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1022_TIE_ANG_XX__AUDIO_1022_TIE_DIS_XX_sadtalker.pt
1_506,mustard,-1,mustard_SHELDON,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\1_506.mp4,data\preprocessed\features\z_at\1_506.pt,data\preprocessed\features\z_v\1_506.pt
FAKE_T3_1042_IWW_DIS_XX__AUDIO_1042_IWW_FEA_XX_sadtalker,track3,1,crema_1042,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1042_IWW_DIS_XX__AUDIO_1042_IWW_FEA_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1042_IWW_DIS_XX__AUDIO_1042_IWW_FEA_XX_sadtalker.pt
train_dia681_utt4,meld_real,0,meld_Rachel,sadness,sadness,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia681_utt4.mp4,data\preprocessed\features\z_at\train_dia681_utt4.pt,data\preprocessed\features\z_v\train_dia681_utt4.pt
FAKE_T1_1052_IWL_FEA_XX__AUDIO_1052_IWL_HAP_XX_styletts,track1,1,crema_1052,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1052_IWL_FEA_XX__AUDIO_1052_IWL_HAP_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1052_IWL_FEA_XX__AUDIO_1052_IWL_HAP_XX_styletts.pt
4hEWns7JBg0_009,mosei_real,0,mosei_4hEWns7JBg0_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\4hEWns7JBg0_009.mp4,data\preprocessed\features\z_at\4hEWns7JBg0_009.pt,data\preprocessed\features\z_v\4hEWns7JBg0_009.pt
train_dia538_utt2,meld_real,0,meld_Rachel,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia538_utt2.mp4,data\preprocessed\features\z_at\train_dia538_utt2.pt,data\preprocessed\features\z_v\train_dia538_utt2.pt
3GyEnzE1NTQ_009,mosei_real,0,mosei_3GyEnzE1NTQ_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\3GyEnzE1NTQ_009.mp4,data\preprocessed\features\z_at\3GyEnzE1NTQ_009.pt,data\preprocessed\features\z_v\3GyEnzE1NTQ_009.pt
