output_stem,output_path,label,status,method,actor_id,sentence_key,video_emotion,audio_emotion,processed
FAKE_T3_1001_DFA_HAP_XX__AUDIO_1001_DFA_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_DFA_HAP_XX__AUDIO_1001_DFA_NEU_XX_sadtalker.mp4,1,done,sadtalker,1001,DFA,happy,neutral,yes
FAKE_T3_1001_IEO_ANG_HI__AUDIO_1001_IEO_DIS_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_ANG_HI__AUDIO_1001_IEO_DIS_HI_sadtalker.mp4,1,done,sadtalker,1001,IEO,angry,disgust,yes
FAKE_T3_1001_IEO_ANG_MD__AUDIO_1001_IEO_DIS_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_ANG_MD__AUDIO_1001_IEO_DIS_MD_sadtalker.mp4,1,done,sadtalker,1001,IEO,angry,disgust,yes
FAKE_T3_1001_IEO_DIS_HI__AUDIO_1001_IEO_FEA_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_DIS_HI__AUDIO_1001_IEO_FEA_HI_sadtalker.mp4,1,done,sadtalker,1001,IEO,disgust,fear,yes
FAKE_T3_1001_IEO_DIS_LO__AUDIO_1001_IEO_FEA_LO_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_DIS_LO__AUDIO_1001_IEO_FEA_LO_sadtalker.mp4,1,done,sadtalker,1001,IEO,disgust,fear,yes
FAKE_T3_1001_IEO_DIS_MD__AUDIO_1001_IEO_FEA_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_DIS_MD__AUDIO_1001_IEO_FEA_MD_sadtalker.mp4,1,done,sadtalker,1001,IEO,disgust,fear,yes
FAKE_T3_1001_IEO_FEA_HI__AUDIO_1001_IEO_HAP_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_FEA_HI__AUDIO_1001_IEO_HAP_HI_sadtalker.mp4,1,done,sadtalker,1001,IEO,fear,happy,yes
FAKE_T3_1001_IEO_FEA_LO__AUDIO_1001_IEO_HAP_LO_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_FEA_LO__AUDIO_1001_IEO_HAP_LO_sadtalker.mp4,1,done,sadtalker,1001,IEO,fear,happy,yes
FAKE_T3_1001_IEO_FEA_MD__AUDIO_1001_IEO_HAP_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_FEA_MD__AUDIO_1001_IEO_HAP_MD_sadtalker.mp4,1,done,sadtalker,1001,IEO,fear,happy,yes
FAKE_T3_1001_IEO_HAP_HI__AUDIO_1001_IEO_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_HAP_HI__AUDIO_1001_IEO_NEU_XX_sadtalker.mp4,1,done,sadtalker,1001,IEO,happy,neutral,yes
